date,sensor_number,number_of_calls,normal?
2022-08-10,10,0,0
2022-08-11,10,0,0
2022-08-12,10,0,0
2022-08-13,10,0,0
2022-08-14,10,0,0
2022-08-15,10,0,0
2022-08-16,10,0,0
2022-08-17,10,0,0
2022-08-18,10,0,0
2022-08-19,10,0,0
2022-08-20,10,0,0
2022-08-21,10,0,0
2022-08-22,10,0,0
2022-08-23,10,0,0
2022-08-24,10,0,0
2022-08-25,10,24,0
2022-08-26,10,238,1
2022-08-27,10,239,1
2022-08-28,10,239,1
2022-08-29,10,239,1
2022-08-30,10,240,1
2022-08-31,10,237,1
2022-09-01,10,239,1
2022-09-02,10,239,1
2022-09-03,10,240,1
2022-09-04,10,240,1
2022-09-05,10,235,1
2022-09-06,10,238,1
2022-09-07,10,240,1
2022-09-08,10,240,1
2022-09-09,10,240,1
2022-09-10,10,239,1
2022-09-11,10,240,1
2022-09-12,10,240,1
2022-09-13,10,240,1
2022-09-14,10,237,1
2022-09-15,10,239,1
2022-09-16,10,239,1
2022-09-17,10,239,1
2022-09-18,10,238,1
2022-09-19,10,240,1
2022-09-20,10,238,1
2022-09-21,10,236,1
2022-09-22,10,239,1
2022-09-23,10,240,1
2022-09-24,10,239,1
2022-09-25,10,240,1
2022-09-26,10,239,1
2022-09-27,10,239,1
2022-09-28,10,240,1
2022-09-29,10,238,1
2022-09-30,10,237,1
2022-10-01,10,240,1
2022-10-02,10,239,1
2022-10-03,10,240,1
2022-10-04,10,240,1
2022-10-05,10,239,1
2022-10-06,10,240,1
2022-10-07,10,236,1
2022-10-08,10,239,1
2022-10-09,10,240,1
2022-10-10,10,239,1
2022-10-11,10,238,1
2022-10-12,10,239,1
2022-10-13,10,240,1
2022-10-14,10,240,1
2022-10-15,10,240,1
2022-10-16,10,240,1
2022-10-17,10,240,1
2022-10-18,10,236,1
2022-10-19,10,235,1
2022-10-20,10,240,1
2022-10-21,10,240,1
2022-10-22,10,236,1
2022-10-23,10,238,1
2022-10-24,10,234,1
2022-10-25,10,240,1
2022-10-26,10,240,1
2022-10-27,10,240,1
2022-10-28,10,238,1
2022-10-29,10,240,1
2022-10-30,10,240,1
2022-10-31,10,238,1
2022-11-01,10,236,1
2022-11-02,10,240,1
2022-11-03,10,239,1
2022-11-04,10,240,1
2022-11-05,10,240,1
2022-11-06,10,239,1
2022-11-07,10,239,1
2022-11-08,10,240,1
2022-11-09,10,240,1
2022-11-10,10,240,1
2022-11-11,10,240,1
2022-11-12,10,239,1
2022-11-13,10,240,1
2022-11-14,10,240,1
2022-11-15,10,240,1
2022-11-16,10,238,1
2022-11-17,10,237,1
2022-11-18,10,240,1
2022-11-19,10,240,1
2022-11-20,10,239,1
2022-11-21,10,239,1
2022-11-22,10,237,1
2022-11-23,10,218,0
2022-11-24,10,237,1
2022-11-25,10,239,1
2022-11-26,10,237,1
2022-11-27,10,237,1
2022-11-28,10,235,1
2022-11-29,10,239,1
2022-11-30,10,240,1
2022-12-01,10,240,1
2022-12-02,10,240,1
2022-12-03,10,240,1
2022-12-04,10,240,1
2022-12-05,10,240,1
2022-12-06,10,239,1
2022-12-07,10,240,1
2022-12-08,10,224,0
2022-12-09,10,236,1
2022-12-10,10,235,1
2022-12-11,10,231,1
2022-12-12,10,237,1
2022-12-13,10,240,1
2022-12-14,10,240,1
2022-12-15,10,240,1
2022-12-16,10,240,1
2022-12-17,10,240,1
2022-12-18,10,239,1
2022-12-19,10,239,1
2022-12-20,10,234,1
2022-12-21,10,228,0
2022-12-22,10,239,1
2022-12-23,10,240,1
2022-12-24,10,240,1
2022-12-25,10,240,1
2022-12-26,10,240,1
2022-12-27,10,240,1
2022-12-28,10,238,1
2022-12-29,10,240,1
2022-12-30,10,240,1
2022-12-31,10,240,1
2023-01-01,10,240,1
2023-01-02,10,239,1
2023-01-03,10,239,1
2023-01-04,10,240,1
2023-01-05,10,240,1
2023-01-06,10,240,1
2023-01-07,10,239,1
2023-01-08,10,239,1
2023-01-09,10,240,1
2023-01-10,10,206,0
2023-01-11,10,240,1
2023-01-12,10,240,1
2023-01-13,10,240,1
2023-01-14,10,240,1
2023-01-15,10,240,1
2023-01-16,10,239,1
2023-01-17,10,238,1
2023-01-18,10,240,1
2023-01-19,10,240,1
2023-01-20,10,237,1
2023-01-21,10,202,0
2023-01-22,10,221,0
2023-01-23,10,238,1
2023-01-24,10,240,1
2023-01-25,10,238,1
2023-01-26,10,239,1
2023-01-27,10,240,1
2023-01-28,10,238,1
2023-01-29,10,239,1
2023-01-30,10,239,1
2023-01-31,10,240,1
2023-02-01,10,238,1
2023-02-02,10,240,1
2023-02-03,10,240,1
2023-02-04,10,239,1
2023-02-05,10,237,1
2023-02-06,10,236,1
2023-02-07,10,239,1
2023-02-08,10,240,1
2023-02-09,10,240,1
2023-02-10,10,240,1
2023-02-11,10,240,1
2023-02-12,10,240,1
2023-02-13,10,239,1
2023-02-14,10,240,1
2023-02-15,10,239,1
2023-02-16,10,239,1
2023-02-17,10,240,1
2023-02-18,10,240,1
2023-02-19,10,237,1
2023-02-20,10,239,1
2023-02-21,10,239,1
2023-02-22,10,236,1
2023-02-23,10,240,1
2023-02-24,10,240,1
2023-02-25,10,239,1
2023-02-26,10,239,1
2023-02-27,10,239,1
2023-02-28,10,240,1
2023-03-01,10,240,1
2023-03-02,10,238,1
2023-03-03,10,240,1
2023-03-04,10,240,1
2023-03-05,10,239,1
2023-03-06,10,240,1
2023-03-07,10,240,1
2023-03-08,10,238,1
2023-03-09,10,240,1
2023-03-10,10,238,1
2023-03-11,10,236,1
2023-03-12,10,240,1
2023-03-13,10,240,1
2023-03-14,10,239,1
2023-03-15,10,239,1
2023-03-16,10,239,1
2023-03-17,10,240,1
2023-03-18,10,240,1
2023-03-19,10,238,1
2023-03-20,10,240,1
2023-03-21,10,240,1
2023-03-22,10,240,1
2023-03-23,10,240,1
2023-03-24,10,238,1
2023-03-25,10,239,1
2023-03-26,10,239,1
2023-03-27,10,239,1
2023-03-28,10,239,1
2023-03-29,10,240,1
2023-03-30,10,237,1
2023-03-31,10,240,1
2023-04-01,10,239,1
2023-04-02,10,240,1
2023-04-03,10,235,1
2023-04-04,10,239,1
2023-04-05,10,225,0
2023-04-06,10,240,1
2023-04-07,10,240,1
2023-04-08,10,240,1
2023-04-09,10,240,1
2023-04-10,10,239,1
2023-04-11,10,240,1
2023-04-12,10,239,1
2023-04-13,10,239,1
2023-04-14,10,240,1
2023-04-15,10,240,1
2023-04-16,10,240,1
2023-04-17,10,240,1
2023-04-18,10,240,1
2023-04-19,10,240,1
2023-04-20,10,239,1
2023-04-21,10,238,1
2023-04-22,10,240,1
2023-04-23,10,239,1
2023-04-24,10,240,1
2023-04-25,10,240,1
2023-04-26,10,221,0
2023-04-27,10,235,1
2023-04-28,10,239,1
2023-04-29,10,237,1
2023-04-30,10,220,0
2023-05-01,10,239,1
2023-05-02,10,240,1
2023-05-03,10,240,1
2023-05-04,10,237,1
2023-05-05,10,238,1
2023-05-06,10,240,1
2023-05-07,10,240,1
2023-05-08,10,239,1
2023-05-09,10,237,1
2023-05-10,10,238,1
2023-05-11,10,240,1
2023-05-12,10,240,1
2023-05-13,10,240,1
2023-05-14,10,238,1
2023-05-15,10,238,1
2023-05-16,10,238,1
2023-05-17,10,240,1
2023-05-18,10,240,1
2023-05-19,10,240,1
2023-05-20,10,240,1
2023-05-21,10,240,1
2023-05-22,10,240,1
2023-05-23,10,238,1
2023-05-24,10,239,1
2023-05-25,10,223,0
2023-05-26,10,239,1
2023-05-27,10,240,1
2023-05-28,10,237,1
2023-05-29,10,237,1
2023-05-30,10,240,1
2023-05-31,10,240,1
2023-06-01,10,236,1
2023-06-02,10,237,1
2023-06-03,10,235,1
2023-06-04,10,239,1
2023-06-05,10,238,1
2023-06-06,10,240,1
2023-06-07,10,238,1
2023-06-08,10,239,1
2023-06-09,10,240,1
2023-06-10,10,207,0
2023-06-11,10,239,1
2023-06-12,10,240,1
2023-06-13,10,238,1
2023-06-14,10,240,1
2023-06-15,10,237,1
2023-06-15,10,143,0
2022-08-10,11,0,0
2022-08-11,11,0,0
2022-08-12,11,0,0
2022-08-13,11,0,0
2022-08-14,11,0,0
2022-08-15,11,0,0
2022-08-16,11,0,0
2022-08-17,11,0,0
2022-08-18,11,0,0
2022-08-19,11,0,0
2022-08-20,11,0,0
2022-08-21,11,0,0
2022-08-22,11,0,0
2022-08-23,11,0,0
2022-08-24,11,0,0
2022-08-25,11,23,0
2022-08-26,11,239,1
2022-08-27,11,240,1
2022-08-28,11,240,1
2022-08-29,11,240,1
2022-08-30,11,240,1
2022-08-31,11,162,0
2022-09-01,11,10,0
2022-09-02,11,229,0
2022-09-03,11,240,1
2022-09-04,11,240,1
2022-09-05,11,240,1
2022-09-06,11,240,1
2022-09-07,11,240,1
2022-09-08,11,240,1
2022-09-09,11,240,1
2022-09-10,11,240,1
2022-09-11,11,240,1
2022-09-12,11,238,1
2022-09-13,11,240,1
2022-09-14,11,239,1
2022-09-15,11,240,1
2022-09-16,11,239,1
2022-09-17,11,240,1
2022-09-18,11,240,1
2022-09-19,11,240,1
2022-09-20,11,240,1
2022-09-21,11,240,1
2022-09-22,11,240,1
2022-09-23,11,240,1
2022-09-24,11,238,1
2022-09-25,11,240,1
2022-09-26,11,240,1
2022-09-27,11,240,1
2022-09-28,11,240,1
2022-09-29,11,240,1
2022-09-30,11,239,1
2022-10-01,11,240,1
2022-10-02,11,240,1
2022-10-03,11,240,1
2022-10-04,11,240,1
2022-10-05,11,240,1
2022-10-06,11,240,1
2022-10-07,11,240,1
2022-10-08,11,240,1
2022-10-09,11,240,1
2022-10-10,11,240,1
2022-10-11,11,240,1
2022-10-12,11,240,1
2022-10-13,11,240,1
2022-10-14,11,240,1
2022-10-15,11,240,1
2022-10-16,11,240,1
2022-10-17,11,240,1
2022-10-18,11,240,1
2022-10-19,11,240,1
2022-10-20,11,240,1
2022-10-21,11,240,1
2022-10-22,11,240,1
2022-10-23,11,240,1
2022-10-24,11,240,1
2022-10-25,11,240,1
2022-10-26,11,240,1
2022-10-27,11,240,1
2022-10-28,11,240,1
2022-10-29,11,240,1
2022-10-30,11,240,1
2022-10-31,11,240,1
2022-11-01,11,240,1
2022-11-02,11,239,1
2022-11-03,11,240,1
2022-11-04,11,240,1
2022-11-05,11,240,1
2022-11-06,11,238,1
2022-11-07,11,240,1
2022-11-08,11,239,1
2022-11-09,11,238,1
2022-11-10,11,239,1
2022-11-11,11,240,1
2022-11-12,11,240,1
2022-11-13,11,240,1
2022-11-14,11,240,1
2022-11-15,11,240,1
2022-11-16,11,240,1
2022-11-17,11,238,1
2022-11-18,11,240,1
2022-11-19,11,240,1
2022-11-20,11,240,1
2022-11-21,11,240,1
2022-11-22,11,235,1
2022-11-23,11,234,1
2022-11-24,11,240,1
2022-11-25,11,240,1
2022-11-26,11,240,1
2022-11-27,11,240,1
2022-11-28,11,240,1
2022-11-29,11,240,1
2022-11-30,11,240,1
2022-12-01,11,240,1
2022-12-02,11,240,1
2022-12-03,11,240,1
2022-12-04,11,240,1
2022-12-05,11,238,1
2022-12-06,11,240,1
2022-12-07,11,240,1
2022-12-08,11,222,0
2022-12-09,11,240,1
2022-12-10,11,233,1
2022-12-11,11,225,0
2022-12-12,11,240,1
2022-12-13,11,240,1
2022-12-14,11,240,1
2022-12-15,11,240,1
2022-12-16,11,240,1
2022-12-17,11,240,1
2022-12-18,11,240,1
2022-12-19,11,239,1
2022-12-20,11,230,0
2022-12-21,11,229,0
2022-12-22,11,240,1
2022-12-23,11,240,1
2022-12-24,11,240,1
2022-12-25,11,240,1
2022-12-26,11,240,1
2022-12-27,11,240,1
2022-12-28,11,240,1
2022-12-29,11,240,1
2022-12-30,11,240,1
2022-12-31,11,240,1
2023-01-01,11,240,1
2023-01-02,11,240,1
2023-01-03,11,240,1
2023-01-04,11,240,1
2023-01-05,11,240,1
2023-01-06,11,240,1
2023-01-07,11,240,1
2023-01-08,11,241,1
2023-01-09,11,240,1
2023-01-10,11,214,0
2023-01-11,11,240,1
2023-01-12,11,240,1
2023-01-13,11,240,1
2023-01-14,11,240,1
2023-01-15,11,240,1
2023-01-16,11,240,1
2023-01-17,11,240,1
2023-01-18,11,240,1
2023-01-19,11,240,1
2023-01-20,11,236,1
2023-01-21,11,202,0
2023-01-22,11,223,0
2023-01-23,11,240,1
2023-01-24,11,240,1
2023-01-25,11,240,1
2023-01-26,11,240,1
2023-01-27,11,240,1
2023-01-28,11,240,1
2023-01-29,11,240,1
2023-01-30,11,240,1
2023-01-31,11,239,1
2023-02-01,11,240,1
2023-02-02,11,240,1
2023-02-03,11,240,1
2023-02-04,11,240,1
2023-02-05,11,240,1
2023-02-06,11,240,1
2023-02-07,11,238,1
2023-02-08,11,240,1
2023-02-09,11,240,1
2023-02-10,11,240,1
2023-02-11,11,238,1
2023-02-12,11,240,1
2023-02-13,11,240,1
2023-02-14,11,240,1
2023-02-15,11,239,1
2023-02-16,11,240,1
2023-02-17,11,240,1
2023-02-18,11,240,1
2023-02-19,11,240,1
2023-02-20,11,240,1
2023-02-21,11,240,1
2023-02-22,11,240,1
2023-02-23,11,240,1
2023-02-24,11,240,1
2023-02-25,11,240,1
2023-02-26,11,240,1
2023-02-27,11,240,1
2023-02-28,11,239,1
2023-03-01,11,240,1
2023-03-02,11,240,1
2023-03-03,11,240,1
2023-03-04,11,240,1
2023-03-05,11,240,1
2023-03-06,11,240,1
2023-03-07,11,240,1
2023-03-08,11,238,1
2023-03-09,11,239,1
2023-03-10,11,240,1
2023-03-11,11,240,1
2023-03-12,11,240,1
2023-03-13,11,239,1
2023-03-14,11,240,1
2023-03-15,11,240,1
2023-03-16,11,240,1
2023-03-17,11,240,1
2023-03-18,11,240,1
2023-03-19,11,240,1
2023-03-20,11,240,1
2023-03-21,11,240,1
2023-03-22,11,240,1
2023-03-23,11,240,1
2023-03-24,11,240,1
2023-03-25,11,240,1
2023-03-26,11,240,1
2023-03-27,11,240,1
2023-03-28,11,240,1
2023-03-29,11,240,1
2023-03-30,11,240,1
2023-03-31,11,240,1
2023-04-01,11,240,1
2023-04-02,11,240,1
2023-04-03,11,237,1
2023-04-04,11,240,1
2023-04-05,11,228,0
2023-04-06,11,240,1
2023-04-07,11,240,1
2023-04-08,11,240,1
2023-04-09,11,239,1
2023-04-10,11,240,1
2023-04-11,11,240,1
2023-04-12,11,239,1
2023-04-13,11,240,1
2023-04-14,11,240,1
2023-04-15,11,240,1
2023-04-16,11,240,1
2023-04-17,11,239,1
2023-04-18,11,239,1
2023-04-19,11,240,1
2023-04-20,11,239,1
2023-04-21,11,240,1
2023-04-22,11,240,1
2023-04-23,11,240,1
2023-04-24,11,240,1
2023-04-25,11,240,1
2023-04-26,11,239,1
2023-04-27,11,240,1
2023-04-28,11,238,1
2023-04-29,11,240,1
2023-04-30,11,240,1
2023-05-01,11,240,1
2023-05-02,11,240,1
2023-05-03,11,240,1
2023-05-04,11,237,1
2023-05-05,11,240,1
2023-05-06,11,240,1
2023-05-07,11,240,1
2023-05-08,11,240,1
2023-05-09,11,240,1
2023-05-10,11,240,1
2023-05-11,11,240,1
2023-05-12,11,240,1
2023-05-13,11,240,1
2023-05-14,11,240,1
2023-05-15,11,240,1
2023-05-16,11,240,1
2023-05-17,11,240,1
2023-05-18,11,240,1
2023-05-19,11,240,1
2023-05-20,11,239,1
2023-05-21,11,240,1
2023-05-22,11,240,1
2023-05-23,11,240,1
2023-05-24,11,240,1
2023-05-25,11,240,1
2023-05-26,11,240,1
2023-05-27,11,240,1
2023-05-28,11,239,1
2023-05-29,11,238,1
2023-05-30,11,240,1
2023-05-31,11,240,1
2023-06-01,11,240,1
2023-06-02,11,240,1
2023-06-03,11,238,1
2023-06-04,11,240,1
2023-06-05,11,240,1
2023-06-06,11,240,1
2023-06-07,11,239,1
2023-06-08,11,238,1
2023-06-09,11,240,1
2023-06-10,11,207,0
2023-06-11,11,240,1
2023-06-12,11,240,1
2023-06-13,11,240,1
2023-06-14,11,240,1
2023-06-15,11,240,1
2023-06-15,11,143,0
2022-08-10,12,0,0
2022-08-11,12,0,0
2022-08-12,12,0,0
2022-08-13,12,0,0
2022-08-14,12,0,0
2022-08-15,12,0,0
2022-08-16,12,0,0
2022-08-17,12,0,0
2022-08-18,12,0,0
2022-08-19,12,0,0
2022-08-20,12,0,0
2022-08-21,12,0,0
2022-08-22,12,0,0
2022-08-23,12,0,0
2022-08-24,12,0,0
2022-08-25,12,0,0
2022-08-26,12,0,0
2022-08-27,12,0,0
2022-08-28,12,0,0
2022-08-29,12,0,0
2022-08-30,12,0,0
2022-08-31,12,0,0
2022-09-01,12,146,0
2022-09-02,12,240,1
2022-09-03,12,240,1
2022-09-04,12,240,1
2022-09-05,12,240,1
2022-09-06,12,240,1
2022-09-07,12,240,1
2022-09-08,12,240,1
2022-09-09,12,240,1
2022-09-10,12,240,1
2022-09-11,12,240,1
2022-09-12,12,240,1
2022-09-13,12,240,1
2022-09-14,12,240,1
2022-09-15,12,240,1
2022-09-16,12,239,1
2022-09-17,12,240,1
2022-09-18,12,240,1
2022-09-19,12,240,1
2022-09-20,12,240,1
2022-09-21,12,240,1
2022-09-22,12,240,1
2022-09-23,12,240,1
2022-09-24,12,240,1
2022-09-25,12,240,1
2022-09-26,12,239,1
2022-09-27,12,240,1
2022-09-28,12,240,1
2022-09-29,12,240,1
2022-09-30,12,240,1
2022-10-01,12,240,1
2022-10-02,12,240,1
2022-10-03,12,240,1
2022-10-04,12,240,1
2022-10-05,12,240,1
2022-10-06,12,240,1
2022-10-07,12,240,1
2022-10-08,12,240,1
2022-10-09,12,240,1
2022-10-10,12,240,1
2022-10-11,12,240,1
2022-10-12,12,240,1
2022-10-13,12,240,1
2022-10-14,12,240,1
2022-10-15,12,240,1
2022-10-16,12,240,1
2022-10-17,12,240,1
2022-10-18,12,240,1
2022-10-19,12,240,1
2022-10-20,12,240,1
2022-10-21,12,240,1
2022-10-22,12,240,1
2022-10-23,12,240,1
2022-10-24,12,240,1
2022-10-25,12,240,1
2022-10-26,12,240,1
2022-10-27,12,240,1
2022-10-28,12,240,1
2022-10-29,12,240,1
2022-10-30,12,240,1
2022-10-31,12,239,1
2022-11-01,12,240,1
2022-11-02,12,240,1
2022-11-03,12,240,1
2022-11-04,12,240,1
2022-11-05,12,240,1
2022-11-06,12,238,1
2022-11-07,12,240,1
2022-11-08,12,240,1
2022-11-09,12,240,1
2022-11-10,12,240,1
2022-11-11,12,240,1
2022-11-12,12,240,1
2022-11-13,12,240,1
2022-11-14,12,239,1
2022-11-15,12,240,1
2022-11-16,12,239,1
2022-11-17,12,240,1
2022-11-18,12,240,1
2022-11-19,12,240,1
2022-11-20,12,240,1
2022-11-21,12,240,1
2022-11-22,12,235,1
2022-11-23,12,235,1
2022-11-24,12,240,1
2022-11-25,12,240,1
2022-11-26,12,240,1
2022-11-27,12,240,1
2022-11-28,12,240,1
2022-11-29,12,240,1
2022-11-30,12,240,1
2022-12-01,12,239,1
2022-12-02,12,240,1
2022-12-03,12,240,1
2022-12-04,12,231,1
2022-12-05,12,237,1
2022-12-06,12,239,1
2022-12-07,12,239,1
2022-12-08,12,225,0
2022-12-09,12,234,1
2022-12-10,12,229,0
2022-12-11,12,221,0
2022-12-12,12,234,1
2022-12-13,12,240,1
2022-12-14,12,240,1
2022-12-15,12,239,1
2022-12-16,12,240,1
2022-12-17,12,240,1
2022-12-18,12,240,1
2022-12-19,12,239,1
2022-12-20,12,229,0
2022-12-21,12,231,1
2022-12-22,12,240,1
2022-12-23,12,239,1
2022-12-24,12,240,1
2022-12-25,12,240,1
2022-12-26,12,240,1
2022-12-27,12,237,1
2022-12-28,12,239,1
2022-12-29,12,240,1
2022-12-30,12,240,1
2022-12-31,12,240,1
2023-01-01,12,240,1
2023-01-02,12,240,1
2023-01-03,12,240,1
2023-01-04,12,239,1
2023-01-05,12,239,1
2023-01-06,12,240,1
2023-01-07,12,240,1
2023-01-08,12,239,1
2023-01-09,12,240,1
2023-01-10,12,202,0
2023-01-11,12,240,1
2023-01-12,12,240,1
2023-01-13,12,237,1
2023-01-14,12,240,1
2023-01-15,12,239,1
2023-01-16,12,240,1
2023-01-17,12,240,1
2023-01-18,12,239,1
2023-01-19,12,239,1
2023-01-20,12,238,1
2023-01-21,12,202,0
2023-01-22,12,222,0
2023-01-23,12,240,1
2023-01-24,12,240,1
2023-01-25,12,240,1
2023-01-26,12,240,1
2023-01-27,12,240,1
2023-01-28,12,239,1
2023-01-29,12,240,1
2023-01-30,12,239,1
2023-01-31,12,239,1
2023-02-01,12,240,1
2023-02-02,12,240,1
2023-02-03,12,240,1
2023-02-04,12,239,1
2023-02-05,12,240,1
2023-02-06,12,240,1
2023-02-07,12,238,1
